city_id,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Rain (inches),Snow (inches),City Description,Country
0,Teshie,5.58,-0.11,78.8,78,100,9.17,0.0,0,overcast clouds,GH
1,Mount Gambier,-37.83,140.77,46.4,93,75,9.17,0.0,0,light intensity shower rain,AU
2,Clonakilty,51.62,-8.87,60.01,72,75,17.22,0.0,0,broken clouds,IE
3,San Rafael,-34.62,-68.33,50.25,48,99,7.78,0.0,0,overcast clouds,AR
4,Hasaki,35.73,140.83,73.4,94,75,9.17,0.0,0,broken clouds,JP
5,Tuktoyaktuk,69.45,-133.04,41.0,93,90,13.87,0.0,0,overcast clouds,CA
6,Kostomuksha,64.57,30.58,57.87,89,100,6.67,0.56,0,light rain,RU
7,Envira,-7.3,-70.22,85.15,66,4,3.18,0.64,0,light rain,BR
8,East London,-33.02,27.91,67.89,37,0,3.24,0.0,0,clear sky,ZA
9,Port-Cartier,50.03,-66.87,78.8,50,75,10.29,0.0,0,broken clouds,CA
10,Chokurdakh,70.63,147.92,40.28,72,0,12.08,0.0,0,clear sky,RU
11,Scarborough,54.28,-0.4,57.99,92,98,1.99,0.0,0,overcast clouds,GB
12,Khatanga,71.97,102.5,57.22,65,59,17.72,0.0,0,broken clouds,RU
13,Mbigou,-1.9,11.91,70.02,93,59,2.48,0.0,0,broken clouds,GA
14,Almaznyy,48.04,40.05,78.8,61,28,6.71,0.0,0,scattered clouds,RU
15,Georgetown,5.41,100.34,78.8,94,20,3.36,0.0,0,few clouds,MY
16,Homer,59.64,-151.55,57.0,76,1,4.7,0.0,0,clear sky,US
17,Aklavik,68.22,-135.01,44.6,87,75,8.05,0.0,0,broken clouds,CA
18,Ribeira Grande,38.52,-28.7,71.6,64,75,6.93,0.0,0,broken clouds,PT
19,Villablino,42.94,-6.32,75.99,61,25,5.99,0.19,0,light rain,ES
20,Ayan,56.45,138.17,46.58,85,38,7.58,0.0,0,scattered clouds,RU
21,Rincon,32.3,-81.24,95.0,52,20,14.99,0.0,0,few clouds,US
22,Muros,42.78,-9.06,66.99,75,41,10.0,0.0,0,scattered clouds,ES
23,Yar-Sale,66.83,70.83,52.32,58,0,5.41,0.0,0,clear sky,RU
24,Rikitea,-23.12,-134.97,68.95,68,44,23.22,0.0,0,scattered clouds,PF
25,Butaritari,3.07,172.79,79.23,82,100,9.28,1.5,0,moderate rain,KI
26,Yellowknife,62.46,-114.35,73.99,38,75,19.46,0.0,0,broken clouds,CA
27,Berlevag,70.86,29.09,44.6,100,90,14.99,0.0,0,moderate rain,NO
28,Hilo,19.73,-155.09,75.2,83,90,4.7,0.0,0,overcast clouds,US
29,Bluff,-46.6,168.33,39.0,83,56,3.0,0.0,0,broken clouds,NZ
30,Atuona,-9.8,-139.03,80.4,73,36,18.25,0.0,0,scattered clouds,PF
31,Vaini,-21.2,-175.2,71.6,73,40,8.05,0.0,0,scattered clouds,TO
32,Bredasdorp,-34.53,20.04,53.6,87,20,3.36,0.0,0,few clouds,ZA
33,Ponta Do Sol,32.67,-17.1,70.0,77,75,9.17,0.0,0,broken clouds,PT
34,Kuminskiy,58.67,66.57,51.69,95,100,4.34,0.0,0,overcast clouds,RU
35,Fortuna,40.6,-124.16,63.0,77,75,10.29,0.0,0,broken clouds,US
36,Ostrovnoy,68.05,39.51,61.43,65,10,19.37,0.0,0,clear sky,RU
37,Namatanai,-3.67,152.43,78.85,75,63,5.21,0.0,0,broken clouds,PG
38,Bowen,-20.02,148.23,61.0,93,11,5.82,0.0,0,few clouds,AU
39,Cidreira,-30.18,-50.21,56.1,85,100,21.05,0.36,0,light rain,BR
40,Pangnirtung,66.15,-65.71,48.2,70,40,3.36,0.0,0,scattered clouds,CA
41,Palmetto,27.52,-82.57,91.99,62,40,9.17,0.0,0,scattered clouds,US
42,Pochutla,15.74,-96.47,91.0,49,82,7.0,0.0,0,broken clouds,MX
43,Cape Town,-33.93,18.42,57.99,93,0,3.36,0.0,0,clear sky,ZA
44,Flinders,-34.58,150.86,59.0,84,0,1.99,0.0,0,clear sky,AU
45,Sabha,27.04,14.43,93.85,11,0,9.1,0.0,0,clear sky,LY
46,Ushuaia,-54.8,-68.3,32.0,89,40,4.7,0.0,0,scattered clouds,AR
47,Ilulissat,69.22,-51.1,48.2,61,40,5.82,0.0,0,scattered clouds,GL
48,Srednekolymsk,67.45,153.68,45.75,70,51,10.0,0.0,0,broken clouds,RU
49,Camopi,3.17,-52.32,79.43,92,80,3.04,1.42,0,moderate rain,GF
50,Castro,-24.79,-50.01,54.14,64,0,10.87,0.0,0,clear sky,BR
51,Touros,-5.2,-35.46,80.6,69,40,9.17,0.0,0,scattered clouds,BR
52,Mayumba,-3.43,10.66,72.12,87,88,5.46,0.0,0,overcast clouds,GA
53,Sambava,-14.27,50.17,71.06,79,7,14.9,0.0,0,clear sky,MG
54,Codrington,-38.27,141.97,48.13,87,100,13.29,0.39,0,light rain,AU
55,Victoria,22.29,114.16,84.0,83,100,9.37,0.2,0,light rain,HK
56,Souillac,-20.52,57.52,71.6,73,40,9.17,0.0,0,scattered clouds,MU
57,Barrow,71.29,-156.79,39.2,86,90,1.41,0.0,0,mist,US
58,Bethel,41.37,-73.41,81.0,54,75,8.05,0.0,0,broken clouds,US
59,Mar Del Plata,-38.0,-57.56,48.99,61,75,11.41,0.0,0,broken clouds,AR
60,Pangody,65.85,74.49,49.75,67,12,3.83,0.0,0,few clouds,RU
61,Ucluelet,48.93,-125.55,57.99,82,75,4.7,0.0,0,broken clouds,CA
62,Hualmay,-11.1,-77.61,67.71,62,42,10.02,0.0,0,scattered clouds,PE
63,Rosetta,31.4,30.42,78.8,78,0,8.05,0.0,0,clear sky,EG
64,Chuy,-33.7,-53.46,53.51,76,48,14.79,0.3,0,light rain,UY
65,Punta Arenas,-53.15,-70.92,33.01,88,75,6.93,0.0,0,broken clouds,CL
66,Katsuura,35.13,140.3,73.4,94,75,10.29,0.0,0,broken clouds,JP
67,Geraldton,-28.77,114.6,50.0,93,12,4.7,0.0,0,few clouds,AU
68,Tezu,27.92,96.17,79.07,74,99,2.19,0.11,0,light rain,IN
69,Jamestown,42.1,-79.24,78.01,60,75,10.29,0.0,0,broken clouds,US
70,Marigot,18.07,-63.08,89.6,62,20,12.75,0.0,0,few clouds,MF
71,Buncrana,55.13,-7.45,60.8,77,75,8.05,0.0,0,broken clouds,IE
72,Tasiilaq,65.61,-37.64,41.0,86,75,3.36,0.0,0,light rain,GL
73,Sorland,67.67,12.69,50.0,71,40,12.75,0.0,0,scattered clouds,NO
74,Beringovskiy,63.05,179.32,42.3,98,100,14.5,0.46,0,light rain,RU
75,Grants Pass,42.44,-123.33,64.0,51,1,5.82,0.0,0,clear sky,US
76,Nhulunbuy,-12.23,136.77,68.0,94,40,9.73,0.0,0,scattered clouds,AU
77,Ahipara,-35.17,173.17,52.41,69,21,13.62,0.0,0,few clouds,NZ
78,Puerto Ayora,-0.74,-90.35,75.2,73,75,20.8,0.0,0,broken clouds,EC
79,Port Elizabeth,-33.92,25.57,62.6,55,0,10.29,0.0,0,clear sky,ZA
80,Kapaa,22.08,-159.32,79.0,74,40,12.75,0.0,0,scattered clouds,US
81,Tyshkivka,48.5,30.94,68.56,69,0,2.35,0.0,0,clear sky,UA
82,Mataura,-46.19,168.86,39.0,83,88,3.0,0.0,0,overcast clouds,NZ
83,Atar,20.52,-13.05,112.33,7,48,9.73,0.0,0,scattered clouds,MR
84,Northam,51.03,-4.22,62.01,82,29,8.01,0.0,0,scattered clouds,GB
85,Mabaruma,8.2,-59.78,84.4,74,30,6.2,0.82,0,light rain,GY
86,Kruisfontein,-34.0,24.73,56.05,53,1,5.59,0.0,0,clear sky,ZA
87,Pingliang,35.54,106.69,60.94,62,0,3.8,0.0,0,clear sky,CN
88,Faanui,-16.48,-151.75,78.46,80,12,23.09,0.0,0,few clouds,PF
89,Kalawit,8.07,122.52,78.17,82,84,3.04,1.11,0,moderate rain,PH
90,Malanje,-9.54,16.34,69.98,27,47,3.6,0.0,0,scattered clouds,AO
91,Port Hedland,-20.32,118.57,62.6,67,63,9.17,0.0,0,broken clouds,AU
92,Saint-Philippe,-21.36,55.77,69.8,77,90,11.41,0.0,0,overcast clouds,RE
93,Soderhamn,61.3,17.06,64.0,44,6,2.01,0.0,0,clear sky,SE
94,Grindavik,63.84,-22.43,51.8,81,75,10.29,0.0,0,broken clouds,IS
95,Majene,-3.54,118.97,77.59,87,99,12.35,0.0,0,overcast clouds,ID
96,Turbat,26.0,63.04,88.68,55,0,2.24,0.0,0,clear sky,PK
97,Bandarbeyla,9.49,50.81,82.67,60,100,29.48,0.0,0,overcast clouds,SO
98,Inirida,3.87,-67.92,84.58,80,67,2.35,1.9,0,moderate rain,CO
99,Hermanus,-34.42,19.23,48.99,95,8,1.28,0.0,0,clear sky,ZA
100,Longyearbyen,78.22,15.64,50.0,46,0,8.05,0.0,0,clear sky,SJ
101,Nikolskoye,59.7,30.79,62.01,72,75,11.18,0.0,0,broken clouds,RU
102,Port Lincoln,-34.73,135.87,51.49,66,8,16.62,0.0,0,clear sky,AU
103,Quatre Cocos,-20.21,57.76,71.6,73,40,9.17,0.0,0,scattered clouds,MU
104,Garhshankar,31.22,76.13,92.82,34,0,3.65,0.0,0,clear sky,IN
105,Sept-Iles,50.2,-66.38,78.8,50,75,10.29,0.0,0,broken clouds,CA
106,Churapcha,62.0,132.43,58.15,87,78,5.17,0.48,0,light rain,RU
107,Albany,42.6,-73.97,78.01,68,66,5.03,0.73,0,light rain,US
108,Port Alfred,-33.59,26.89,62.01,59,0,3.0,0.0,0,clear sky,ZA
109,Kavieng,-2.57,150.8,82.44,72,54,9.51,0.0,0,broken clouds,PG
110,La Ronge,55.1,-105.28,57.2,100,90,16.11,0.0,0,light rain,CA
111,Krasnoselkup,65.7,82.47,52.75,75,23,2.68,0.0,0,few clouds,RU
112,Pevek,69.7,170.31,37.24,86,85,6.44,0.0,0,overcast clouds,RU
113,Satipo,-11.25,-74.64,90.68,36,36,2.44,0.0,0,scattered clouds,PE
114,Hobart,-42.88,147.33,55.4,62,90,14.99,0.25,0,light intensity shower rain,AU
115,Upernavik,72.79,-56.15,38.7,76,80,15.12,0.0,0,broken clouds,GL
116,Ust-Kuyga,70.02,135.6,57.63,57,47,2.26,0.0,0,scattered clouds,RU
117,Mahebourg,-20.41,57.7,71.6,73,40,9.17,0.0,0,scattered clouds,MU
118,Kez,57.9,53.72,50.38,89,57,6.02,0.0,0,broken clouds,RU
119,Yerofey Pavlovich,53.97,121.97,63.21,66,15,4.14,0.0,0,few clouds,RU
120,Guarapari,-20.67,-40.5,84.0,55,91,2.46,0.0,0,overcast clouds,BR
121,Kathu,7.92,98.33,84.99,88,20,1.12,0.0,0,few clouds,TH
122,Colares,38.8,-9.45,75.99,64,20,26.4,0.0,0,few clouds,PT
123,Mponela,-13.53,33.74,58.41,56,2,8.39,0.0,0,clear sky,MW
124,Hearst,49.68,-83.67,92.7,27,11,7.43,0.0,0,few clouds,CA
125,Mehamn,71.04,27.85,44.6,93,90,16.11,0.0,0,light rain,NO
126,New Norfolk,-42.78,147.06,50.0,81,93,1.99,0.42,0,light rain,AU
127,Nyurba,63.28,118.33,67.62,65,66,5.79,0.0,0,broken clouds,RU
128,Esperance,-33.87,121.9,48.2,100,90,9.17,0.0,0,overcast clouds,AU
129,Kaitangata,-46.28,169.85,42.01,85,95,4.0,0.0,0,overcast clouds,NZ
130,Bongaree,-27.08,153.16,51.8,100,40,6.93,0.0,0,fog,AU
