City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nemuro,JP,2020-06-22 01:13:27,43.32,145.57,57.2,76,75,6.93
1,Onega,RU,2020-06-22 01:13:28,63.91,38.14,47.77,69,16,5.57
2,Busselton,AU,2020-06-22 01:13:28,-33.65,115.33,62.01,51,100,23.96
3,Albany,US,2020-06-22 01:13:28,42.6,-73.97,84.0,55,41,3.2
4,Cartagena,CO,2020-06-22 01:13:04,10.4,-75.51,82.18,83,100,10.22
5,Sarakhs,IR,2020-06-22 01:09:02,36.54,61.16,87.8,31,97,6.93
6,Los Andes,CL,2020-06-22 01:13:29,-32.83,-70.6,52.0,99,88,2.64
7,Kapaa,US,2020-06-22 01:13:29,22.08,-159.32,82.4,69,75,14.99
8,Nouadhibou,MR,2020-06-22 01:13:30,20.93,-17.03,73.4,73,0,16.11
9,Butaritari,KI,2020-06-22 01:13:30,3.07,172.79,83.43,76,0,14.74
10,Sitka,US,2020-06-22 01:13:30,57.05,-135.33,53.6,71,90,12.75
11,Le Port,RE,2020-06-22 01:13:31,-20.94,55.29,68.0,82,20,11.41
12,Bredasdorp,ZA,2020-06-22 01:13:31,-34.53,20.04,50.0,93,99,4.14
13,Dali,CN,2020-06-22 01:13:31,25.7,100.18,67.44,77,64,4.68
14,Constitucion,CL,2020-06-22 01:13:32,-35.33,-72.42,50.68,76,97,3.15
15,Punta Arenas,CL,2020-06-22 01:13:32,-53.15,-70.92,35.6,93,93,4.7
16,Plettenberg Bay,ZA,2020-06-22 01:13:32,-34.05,23.37,57.69,71,1,3.69
17,Pangai,TO,2020-06-22 01:13:32,-19.8,-174.35,80.6,88,20,9.17
18,Castro,BR,2020-06-22 01:13:33,-24.79,-50.01,57.65,83,0,2.73
19,Southbridge,US,2020-06-22 01:13:33,42.08,-72.03,77.0,81,97,5.26
20,Kruisfontein,ZA,2020-06-22 01:13:33,-34.0,24.73,52.16,84,100,4.81
21,Mataura,NZ,2020-06-22 01:13:34,-46.19,168.86,39.0,83,0,3.0
22,Avarua,CK,2020-06-22 01:13:34,-21.21,-159.78,77.0,57,98,14.99
23,Aquin,HT,2020-06-22 01:11:18,18.28,-73.4,81.45,80,5,4.21
24,Bayji,IQ,2020-06-22 01:13:35,34.93,43.49,80.98,32,0,12.3
25,La Ronge,CA,2020-06-22 01:13:35,55.1,-105.28,64.4,48,20,8.05
26,Adrar,MR,2020-06-22 01:13:35,20.5,-10.07,97.74,11,1,13.51
27,Porto Novo,BJ,2020-06-22 01:13:36,6.5,2.6,78.8,94,40,6.93
28,Bengkulu,ID,2020-06-22 01:13:36,-3.8,102.27,77.88,86,100,3.96
29,Anadyr,RU,2020-06-22 01:13:36,64.75,177.48,77.0,33,0,6.71
30,Flin Flon,CA,2020-06-22 01:13:37,54.77,-101.86,60.89,63,99,3.78
31,Frankfurt,DE,2020-06-22 01:09:08,50.12,8.68,62.01,87,96,2.24
32,Paramonga,PE,2020-06-22 01:13:37,-10.67,-77.83,61.81,86,72,5.79
33,Dom Pedro,BR,2020-06-22 01:13:37,-4.48,-44.45,73.35,78,64,3.2
34,Bluff,NZ,2020-06-22 01:13:38,-46.6,168.33,39.0,83,0,3.0
35,Port Alfred,ZA,2020-06-22 01:13:38,-33.59,26.89,59.0,92,49,4.0
36,Georgetown,MY,2020-06-22 01:12:12,5.41,100.34,82.4,94,20,2.24
37,Vila Velha,BR,2020-06-22 01:13:38,-20.33,-40.29,70.0,88,0,3.36
38,Belyy Yar,RU,2020-06-22 01:13:39,53.6,91.39,53.6,76,75,6.71
39,Geraldton,AU,2020-06-22 01:08:49,-28.77,114.6,64.4,27,0,26.4
40,Carnarvon,AU,2020-06-22 01:13:39,-24.87,113.63,62.6,72,0,9.17
41,Honiara,SB,2020-06-22 01:13:40,-9.43,159.95,89.6,62,20,9.17
42,Bethel,US,2020-06-22 01:13:40,41.37,-73.41,80.6,57,1,11.41
43,Brenham,US,2020-06-22 01:13:40,30.17,-96.4,84.99,83,1,8.05
44,Barrow,US,2020-06-22 01:13:40,71.29,-156.79,37.4,86,90,12.75
